127.0.0.1 - - [11/Oct/2021:20:06:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:06:51 +0900] "POST /myapp/actionLogin HTTP/1.1" 500 4289
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:07:13 +0900] "GET /myapp/ HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:07:24 +0900] "GET /myapp/ HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:07:28 +0900] "GET /myapp/login HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:07:28 +0900] "GET /myapp/js/rsa.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:07:28 +0900] "GET /myapp/js/prng4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:07:28 +0900] "GET /myapp/js/rng.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:07:28 +0900] "GET /myapp/js/jsbn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:07:32 +0900] "POST /myapp/actionLogin HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:07:43 +0900] "GET /myapp/logout HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:07:44 +0900] "GET /myapp/login HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:07:46 +0900] "POST /myapp/actionLogin HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:08:51 +0900] "GET /myapp/logout HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:08:52 +0900] "GET /myapp/login HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:08:54 +0900] "POST /myapp/actionLogin HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [11/Oct/2021:20:08:58 +0900] "GET /myapp/logout HTTP/1.1" 200 221
