127.0.0.1 - - [26/Sep/2021:16:06:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:09 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:11 +0900] "GET /webJSP/daum_login/login1.html HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:11 +0900] "GET /webJSP/daum_login/return.png HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:11 +0900] "GET /webJSP/daum_login/logo_daum.png HTTP/1.1" 200 6954
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:16 +0900] "POST /webJSP/daum_login/loginOk.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:17 +0900] "GET /webJSP/ HTTP/1.1" 200 1705
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:17 +0900] "GET /webJSP/img/wbb2.jpg HTTP/1.1" 200 118559
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:19 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:21 +0900] "GET /webJSP/board/boardWrite.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:50 +0900] "POST /webJSP/board/boardWriteOk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:51 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:06:54 +0900] "GET /webJSP/board/boardWrite.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:07:03 +0900] "POST /webJSP/board/boardWriteOk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:07:03 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 2316
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:07:06 +0900] "GET /webJSP/board/boardWrite.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:07:10 +0900] "POST /webJSP/board/boardWriteOk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:07:10 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:07:11 +0900] "GET /webJSP/board/boardWrite.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:16 +0900] "POST /webJSP/board/boardWriteOk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:16 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:17 +0900] "GET /webJSP/board/boardWrite.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:23 +0900] "POST /webJSP/board/boardWriteOk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:23 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 2889
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:24 +0900] "GET /webJSP/board/boardWrite.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:32 +0900] "POST /webJSP/board/boardWriteOk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:32 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:33 +0900] "GET /webJSP/board/boardWrite.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:41 +0900] "POST /webJSP/board/boardWriteOk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:41 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 3282
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:45 +0900] "GET /webJSP/board/boardWrite.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:50 +0900] "POST /webJSP/board/boardWriteOk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:50 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 3481
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:53 +0900] "GET /webJSP/board/boardWrite.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:58 +0900] "POST /webJSP/board/boardWriteOk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:08:58 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 3716
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:09:00 +0900] "GET /webJSP/board/boardWrite.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:09:08 +0900] "POST /webJSP/board/boardWriteOk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:09:08 +0900] "GET /webJSP/board/boardList.jsp HTTP/1.1" 200 3909
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:09:11 +0900] "GET /webJSP/board/boardWrite.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:09:18 +0900] "POST /webJSP/board/boardWriteOk.jsp HTTP/1.1" 302 -
